Query,A,B,C,D,Correct
"The guy in front of me just bought a pound of bacon, a bouquet, and a case of",pretzels,beer,cheese,soda,beer
"You're the reason why I smile everyday. Can you follow me please? It would mean the",universe,most,world,best,world
"Hey sunshine, can you follow me and make me the",bluest,happiest,smelliest,saddest,happiest
"Very early observations on the Bills game: Offense still struggling but the",crowd,players,defense,referees,defense
"Go on a romantic date at the",mall,beach,grocery,movies,beach
"Well I'm pretty sure my granny has some old bagpipes in her garage I'll dust them off and be on my",horse,way,motorcycle,phone,way
"Ohhhhh #PointBreak is on tomorrow. Love that film and haven't seen it in quite some",years,time,weeks,thing,time
"After the ice bucket challenge Louis will push his long wet hair out of his eyes with his little",eyes,ears,toes,fingers,fingers
"Be grateful for the good times and keep the faith during the",bad,sad,worse,hard,bad
"If this isn't the cutest thing you've ever seen, then you must be",callous,insane,asleep,insensitive,insane
